,Country,Population..2020.,growth,ISO.code
1,Afghanistan,38742911,2.41,AFG
2,Albania,2878420,0.26,ALB
3,Algeria,43685618,1.89,DZA
4,American Samoa,55215,-0.26,ASM
5,Andorra,77240,0.63,AND
6,Angola,32644783,3.12,AGO
7,Antigua and Barbuda,97764,1.03,ATG
8,Argentina,45111229,0.88,ARG
9,Armenia,2962137,0.17,ARM
10,Aruba,106675,0.44,ABW
11,Australia,25439164,1.6,AUS
12,Austria,8996022,0.46,AUT
13,Azerbaijan,10120555,1.35,AZE
14,Bahrain,1688629,1.92,BHR
15,Bangladesh,164354176,1.19,BGD
16,Barbados,287305,0.5,BRB
17,Belarus,9449940,-0.1,BLR
18,Belgium,11579477,0.85,BEL
19,Belize,396120,2.43,BLZ
20,Benin,12055347,2.73,BEN
21,Bermuda,62323,0.37,BMU
22,Bhutan,769867,1.68,BTN
23,Bolivia,11640159,1.65,BOL
24,Bosnia and Herzegovina,3284806,-0.14,BIH
25,Botswana,2341649,0.86,BWA
26,Brazil,212253150,0.87,BRA
27,Brunei,436624,1.4,BRN
28,Bulgaria,6958627,-0.6,BGR
29,Burkina Faso,20780371,2.86,BFA
30,Burundi,11814346,3.19,BDI
31,Cambodia,16671185,1.76,KHM
32,Cameroon,26405174,2.54,CMR
33,Canada,37674770,1.14,CAN
34,Cayman Islands,65564,1.7,CYM
35,Central African Republic,4812256,1.99,CAF
36,Chad,16324440,3,TCD
37,Chile,19082804,0.9,CHL
38,China,1438207241,0.49,CHN
39,Colombia,50771878,1.32,COL
40,Comoros,865696,2.44,COM
41,Costa Rica,5084636,1.42,CRI
42,Croatia,4110214,-0.32,HRV
43,Cuba,11327988,-0.05,CUB
44,Cyprus,1205577,1.11,CYP
45,Denmark,5788108,0.36,DNK
46,Djibouti,985027,1.52,DJI
47,Dominica,71950,0.4,DMA
48,Dominican Republic,10825682,1.26,DOM
49,Ecuador,17587526,1.6,ECU
50,Egypt,101930276,1.66,EGY
51,El Salvador,6479609,0.66,SLV
52,Equatorial Guinea,1392950,2.8,GNQ
53,Eritrea,3536285,3.28,ERI
54,Estonia,1326357,-0.04,EST
55,Eswatini,1157707,1.54,SWZ
56,Ethiopia,114357494,2.58,ETH
57,Fiji,895128,0.78,FJI
58,Finland,5539002,0.48,FIN
59,France,65244628,0.5,FRA
60,French Polynesia,280580,1.08,PYF
61,Gabon,2214593,2.39,GAB
62,Georgia,3990681,0.63,GEO
63,Germany,83730223,0.11,DEU
64,Ghana,30936375,2.17,GHA
65,Greece,10433037,-0.18,GRC
66,Greenland,56750,-0.11,GRL
67,Grenada,112418,0.39,GRD
68,Guam,168474,1.21,GUM
69,Guatemala,17846248,2.53,GTM
70,Guinea,13056478,2.39,GIN
71,Guinea,13056478,2.56,GIN
72,Guyana,785788,0.57,GUY
73,Haiti,11373955,1.39,HTI
74,Honduras,9871892,2.03,HND
75,Hong Kong,7484618,1.17,HKG
76,Hungary,9665192,-0.28,HUN
77,Iceland,340795,0.35,ISL
78,India,1377233523,1.26,IND
79,Indonesia,272931713,1.25,IDN
80,Iran,83771587,1.32,IRN
81,Iraq,40031626,2.54,IRQ
82,Ireland,4926480,0.26,IRL
83,Isle of Man,84942,0.74,IMN
84,Israel,8627444,1.81,ISR
85,Italy,60479424,0.32,ITA
86,Jamaica,2958567,0.21,JAM
87,Japan,126552765,-0.2,JPN
88,Jordan,10182442,2.19,JOR
89,Kazakhstan,18730568,1.43,KAZ
90,Kenya,53521116,2.7,KEN
91,Kiribati,119069,1.54,KIR
92,Kuwait,4257495,3.95,KWT
93,Kyrgyzstan,6501804,1.22,KGZ
94,Laos,7253719,1.89,LAO
95,Latvia,1890218,-1.6,LVA
96,Lebanon,6831445,0.96,LBN
97,Lesotho,2138799,1.08,LSO
98,Liberia,5032469,2.68,LBR
99,Libya,6852010,0.84,LBY
100,Liechtenstein,38106,0.73,LIE
101,Lithuania,2729553,-1.48,LTU
102,Luxembourg,623861,2.49,LUX
103,Madagascar,27539106,2.8,MDG
104,Malawi,19024426,2.86,MWI
105,Malaysia,32280610,1.66,MYS
106,Maldives,538558,1.93,MDV
107,Mali,20125282,2.99,MLI
108,Malta,441308,0.4,MLT
109,Marshall Islands,59109,0.11,MHL
110,Mauritania,4623535,2.49,MRT
111,Mauritius,1271347,0.42,MUS
112,Mexico,128655589,1.24,MEX
113,Micronesia,114776,-0.03,FSM
114,Moldova,4035814,-0.04,MDA
115,Monaco,39186,0.85,MCO
116,Mongolia,3267320,1.52,MNG
117,Montenegro,628050,0.07,MNE
118,Morocco,36820713,1.43,MAR
119,Mozambique,31067362,2.5,MOZ
120,Myanmar,54335948,0.85,MMR
121,Namibia,2531290,1.87,NAM
122,Nepal,29027347,1.16,NPL
123,Netherlands,17127290,0.45,NLD
124,New Caledonia,284938,1.6,NCL
125,New Zealand,4814272,0.63,NZL
126,Nicaragua,6608366,1.46,NIC
127,Niger,24014064,3.84,NER
128,Nigeria,205052107,2.79,NGA
129,North Korea,25756088,0.53,PRK
130,North Macedonia,2083391,0.08,MKD
131,Northern Mariana Islands,57490,0.14,MNP
132,Norway,5412632,1.32,NOR
133,Oman,5078933,9.13,OMN
134,Pakistan,219992900,2.69,PAK
135,Palau,18077,0.72,PLW
136,Panama,4300667,1.64,PAN
137,Papua New Guinea,8911530,2.17,PNG
138,Paraguay,7114524,1.72,PRY
139,Peru,32876986,1.25,PER
140,Philippines,109280343,1.72,PHL
141,Poland,37854825,0.02,POL
142,Portugal,10202571,-0.29,PRT
143,Puerto Rico,2874636,-0.73,PRI
144,Qatar,2870922,7.05,QAT
145,Romania,19262731,-0.27,ROU
146,Russia,145922010,0.4,RUS
147,Rwanda,12883878,2.77,RWA
148,Saint Lucia,183458,0.89,LCA
149,Samoa,198147,0.78,WSM
150,San Marino,33917,0.64,SMR
151,Saudi Arabia,34701377,1.88,SAU
152,Senegal,16649599,2.92,SEN
153,Serbia,8744288,-0.48,SRB
154,Seychelles,98224,0.39,SYC
155,Sierra Leone,7942879,1.91,SLE
156,Singapore,5840996,2.45,SGP
157,Slovakia,5459116,0.22,SVK
158,Slovenia,2078881,0.26,SVN
159,Solomon Islands,683301,2.13,SLB
160,Somalia,15798020,2.86,SOM
161,South Africa,59154802,1.18,ZAF
162,South Korea,51260395,0.45,KOR
163,South Sudan,11166783,4.3,SSD
164,Spain,46751175,0.09,ESP
165,Sri Lanka,21395196,1.04,LKA
166,Sudan,43632213,2.08,SDN
167,Suriname,585561,0.9,SUR
168,Sweden,10086531,0.71,SWE
169,Switzerland,8641786,1.07,CHE
170,Syria,17410293,1.97,SYR
171,Tajikistan,9492342,2.45,TJK
172,Tanzania,59368313,3.04,TZA
173,Thailand,69764925,0.31,THA
174,Togo,8237580,2.6,TGO
175,Tonga,105449,0.37,TON
176,Trinidad and Tobago,1398579,0.33,TTO
177,Tunisia,11793319,0.97,TUN
178,Turkey,84153250,1.28,TUR
179,Turkmenistan,6012850,1.29,TKM
180,Tuvalu,11762,0.16,TUV
181,Uganda,45427637,3.35,UGA
182,Ukraine,43785122,-0.25,UKR
183,United Arab Emirates,9865845,3.1,ARE
184,United Kingdom,67814098,0.75,GBR
185,United States,330610570,0.74,USA
186,Uruguay,3471314,0.35,URY
187,Uzbekistan,33368859,1.47,UZB
188,Vanuatu,305623,2.24,VUT
189,Venezuela,28451828,1.53,VEN
190,Vietnam,97160127,1.06,VNM
191,Yemen,29687214,2.33,YEM
192,Zambia,18273379,3.19,ZMB
193,Zimbabwe,14818157,2.7,ZWE
